Source, Target, Type, Id, Weight
2, 1, Directed, 1, 1
4, 1, Directed, 2, 1
6, 1, Directed, 3, 1
8, 1, Directed, 4, 1
9, 1, Directed, 5, 1
10, 1, Directed, 6, 1
12, 1, Directed, 7, 1
16, 1, Directed, 8, 3
19, 1, Directed, 9, 3
20, 1, Directed, 10, 3
21, 1, Directed, 11, 3
23, 1, Directed, 12, 3
26, 1, Directed, 13, 3
8, 2, Directed, 14, 1
9, 2, Directed, 15, 1
11, 2, Directed, 16, 1
12, 2, Directed, 17, 1
14, 2, Directed, 18, 1
20, 2, Directed, 19, 3
26, 2, Directed, 20, 3
1, 3, Directed, 21, 1
5, 3, Directed, 22, 1
7, 3, Directed, 23, 1
16, 3, Directed, 24, 3
18, 3, Directed, 25, 3
21, 3, Directed, 26, 3
23, 3, Directed, 27, 3
24, 3, Directed, 28, 3
2, 4, Directed, 29, 1
3, 4, Directed, 30, 1
14, 4, Directed, 31, 1
18, 4, Directed, 32, 3
21, 4, Directed, 33, 3
25, 4, Directed, 34, 3
26, 4, Directed, 35, 3
4, 5, Directed, 36, 1
8, 5, Directed, 37, 1
9, 5, Directed, 38, 1
1, 6, Directed, 39, 1
5, 6, Directed, 40, 1
11, 6, Directed, 41, 1
18, 6, Directed, 42, 3
20, 6, Directed, 43, 3
23, 6, Directed, 44, 3
24, 6, Directed, 45, 3
1, 7, Directed, 46, 1
3, 7, Directed, 47, 1
6, 7, Directed, 48, 1
13, 7, Directed, 49, 1
15, 7, Directed, 50, 3
16, 7, Directed, 51, 3
21, 7, Directed, 52, 3
24, 7, Directed, 53, 3
25, 7, Directed, 54, 3
3, 8, Directed, 55, 1
6, 8, Directed, 56, 1
9, 8, Directed, 57, 1
10, 8, Directed, 58, 1
11, 8, Directed, 59, 1
18, 8, Directed, 60, 3
24, 8, Directed, 61, 3
25, 8, Directed, 62, 3
3, 9, Directed, 63, 1
5, 9, Directed, 64, 1
7, 9, Directed, 65, 1
12, 9, Directed, 66, 1
18, 9, Directed, 67, 3
19, 9, Directed, 68, 3
21, 9, Directed, 69, 3
24, 9, Directed, 70, 3
11, 10, Directed, 71, 1
16, 10, Directed, 72, 3
19, 10, Directed, 73, 3
21, 10, Directed, 74, 3
23, 10, Directed, 75, 3
24, 10, Directed, 76, 3
7, 11, Directed, 77, 1
8, 11, Directed, 78, 1
9, 11, Directed, 79, 1
12, 11, Directed, 80, 1
15, 11, Directed, 81, 3
16, 11, Directed, 82, 3
19, 11, Directed, 83, 3
21, 11, Directed, 84, 3
23, 11, Directed, 85, 3
25, 11, Directed, 86, 3
3, 12, Directed, 87, 1
8, 12, Directed, 88, 1
19, 12, Directed, 89, 3
20, 12, Directed, 90, 3
22, 12, Directed, 91, 3
1, 13, Directed, 92, 1
6, 13, Directed, 93, 1
7, 13, Directed, 94, 1
8, 13, Directed, 95, 1
9, 13, Directed, 96, 1
10, 13, Directed, 97, 1
12, 13, Directed, 98, 1
15, 13, Directed, 99, 3
16, 13, Directed, 100, 3
21, 13, Directed, 101, 3
22, 13, Directed, 102, 3
25, 13, Directed, 103, 3
2, 14, Directed, 104, 1
3, 14, Directed, 105, 1
5, 14, Directed, 106, 1
7, 14, Directed, 107, 1
8, 14, Directed, 108, 1
11, 14, Directed, 109, 1
12, 14, Directed, 110, 1
15, 14, Directed, 111, 3
16, 14, Directed, 112, 3
19, 14, Directed, 113, 3
20, 14, Directed, 114, 3
25, 14, Directed, 115, 3
1, 15, Directed, 116, 2
2, 15, Directed, 117, 2
9, 15, Directed, 118, 2
18, 15, Directed, 119, 4
20, 15, Directed, 120, 4
21, 15, Directed, 121, 4
23, 15, Directed, 122, 4
3, 16, Directed, 123, 2
4, 16, Directed, 124, 2
7, 16, Directed, 125, 2
8, 16, Directed, 126, 2
9, 16, Directed, 127, 2
19, 16, Directed, 128, 4
22, 16, Directed, 129, 4
23, 16, Directed, 130, 4
25, 16, Directed, 131, 4
4, 18, Directed, 132, 2
7, 18, Directed, 133, 2
9, 18, Directed, 134, 2
10, 18, Directed, 135, 2
13, 18, Directed, 136, 2
15, 18, Directed, 137, 4
19, 18, Directed, 138, 4
20, 18, Directed, 139, 4
1, 19, Directed, 140, 2
2, 19, Directed, 141, 2
5, 19, Directed, 142, 2
6, 19, Directed, 143, 2
7, 19, Directed, 144, 2
8, 19, Directed, 145, 2
10, 19, Directed, 146, 2
13, 19, Directed, 147, 2
16, 19, Directed, 148, 4
22, 19, Directed, 149, 4
1, 20, Directed, 150, 2
4, 20, Directed, 151, 2
5, 20, Directed, 152, 2
11, 20, Directed, 153, 2
12, 20, Directed, 154, 2
15, 20, Directed, 155, 4
18, 20, Directed, 156, 4
19, 20, Directed, 157, 4
22, 20, Directed, 158, 4
23, 20, Directed, 159, 4
1, 21, Directed, 160, 2
4, 21, Directed, 161, 2
6, 21, Directed, 162, 2
8, 21, Directed, 163, 2
10, 21, Directed, 164, 2
18, 21, Directed, 165, 4
19, 21, Directed, 166, 4
20, 21, Directed, 167, 4
22, 21, Directed, 168, 4
24, 21, Directed, 169, 4
26, 21, Directed, 170, 4
7, 22, Directed, 171, 2
8, 22, Directed, 172, 2
10, 22, Directed, 173, 2
13, 22, Directed, 174, 2
14, 22, Directed, 175, 2
16, 22, Directed, 176, 4
23, 22, Directed, 177, 4
24, 22, Directed, 178, 4
